,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
47,SPY260129C00706000,2026-01-28 21:14:53+00:00,706.0,0.03,0.02,0.03,-0.020000001,-40.000004,7876.0,1546,0.13575083007812502,False,REGULAR,USD
48,SPY260129C00707000,2026-01-28 21:14:53+00:00,707.0,0.02,0.01,0.02,-0.01,-33.333336,3947.0,2596,0.13868048828125001,False,REGULAR,USD
49,SPY260129C00708000,2026-01-28 21:09:52+00:00,708.0,0.01,0.01,0.02,-0.01,-50.0,2420.0,1181,0.148446015625,False,REGULAR,USD
50,SPY260129C00709000,2026-01-28 21:11:23+00:00,709.0,0.01,0.01,0.02,0.0,0.0,4699.0,3454,0.15821154296875,False,REGULAR,USD
51,SPY260129C00710000,2026-01-28 21:10:48+00:00,710.0,0.02,0.01,0.02,0.0,0.0,2308.0,3921,0.16993017578125003,False,REGULAR,USD
52,SPY260129C00711000,2026-01-28 21:14:24+00:00,711.0,0.01,0.01,0.02,0.0,0.0,2310.0,381,0.179695703125,False,REGULAR,USD
53,SPY260129C00712000,2026-01-28 21:14:33+00:00,712.0,0.01,0.01,0.02,0.0,0.0,871.0,183,0.18946123046875002,False,REGULAR,USD
54,SPY260129C00713000,2026-01-28 21:10:01+00:00,713.0,0.01,0.0,0.01,0.0,0.0,850.0,303,0.18360191406249998,False,REGULAR,USD
55,SPY260129C00714000,2026-01-28 21:00:29+00:00,714.0,0.01,0.0,0.01,0.0,0.0,693.0,49,0.1914143359375,False,REGULAR,USD
56,SPY260129C00715000,2026-01-28 21:10:02+00:00,715.0,0.01,0.0,0.01,0.0,0.0,322.0,513,0.20313296874999998,False,REGULAR,USD
57,SPY260129C00716000,2026-01-28 21:06:53+00:00,716.0,0.02,0.0,0.01,0.01,100.0,272.0,84,0.21094539062499998,False,REGULAR,USD
58,SPY260129C00717000,2026-01-28 21:07:37+00:00,717.0,0.01,0.0,0.01,0.0,0.0,360.0,165,0.21875781249999998,False,REGULAR,USD
59,SPY260129C00718000,2026-01-28 21:00:04+00:00,718.0,0.01,0.0,0.01,0.0,0.0,19.0,95,0.22657023437499998,False,REGULAR,USD
60,SPY260129C00719000,2026-01-28 19:51:44+00:00,719.0,0.01,0.0,0.01,0.0,0.0,9.0,134,0.23828886718749998,False,REGULAR,USD
61,SPY260129C00720000,2026-01-28 19:51:08+00:00,720.0,0.02,0.0,0.01,0.01,100.0,87.0,52,0.2461012890625,False,REGULAR,USD
62,SPY260129C00725000,2026-01-28 19:02:37+00:00,725.0,0.01,0.0,0.01,0.0,0.0,936.0,104,0.2890696093749999,False,REGULAR,USD
63,SPY260129C00730000,2026-01-22 17:53:53+00:00,730.0,0.02,0.0,0.01,0.0,0.0,2.0,8,0.335944140625,False,REGULAR,USD
64,SPY260129C00740000,2026-01-22 14:36:09+00:00,740.0,0.01,0.0,0.01,0.0,0.0,,1,0.414068359375,False,REGULAR,USD
65,SPY260129C00750000,2026-01-22 16:27:08+00:00,750.0,0.01,0.0,0.01,0.0,0.0,5.0,4010,0.500005,False,REGULAR,USD
